유형	인물	대사	
background		Background_Black	
think	나	으으... 머리가 아파...	
think	나	몸에 힘이 하나도 안 들어가... 어제 뭐 했더라...	
think	나	과장님이 같이 저녁 먹자고 회식에 끌려 갔고 고깃집에서 2차로 술집 갔다가.... 노래방 갔다가....	
think	나	....	
think	나	이게 회사 생활에 꼭 필요한 일인가.... 이렇게 하면 빨리 승진할 수 있는건가...?	
think	나	으.... 오늘이... 며칠이더라..	
think	나	어제가 11월 10일이였으니까... 11월 11일...? 빼빼로 데이네...	
think	나	어...? 11월 11일? 예진이 생일이잖아!	
think	나	맞다! 나 오늘 예진이 생일 파티 해준다고 휴가냈었지!	
think	나	최근에 회사 때문에 예전보다 많이 못 만나서 서운해했었는데	
think	나	이번에 생일 파티로 다시 알콩달콩해지려고 휴가까지 내서 생일 파티를 해주려고 했는데...	
think	나	으... 어제 과장님이 그렇게 붙잡지만 않았어도...	
think	나	아니야... 후회해봤자 이미 늦었어. 지금은 빨리 일어나서 약속 장소로 가야해!	
think	나	어라... 근데.... 왜 익숙한 침대가 아니지?	
think	나	내가 다른 분 집에서 잤나? 아니면 모텔에서 잤나?	
narration	나레이션	나는 천천히 눈을 떴다.	
background		Background_Hospital	
talk	나	어...?	
think	나	병원이다. 내가 왜...? 집에 가다가 차에 치이기라도 했나?	
think	나	팔에 깁스도 했네... 하... 이를 어쩐다...	
think	나	이 꼴을 보니 예진이와의 약속에 가는건 글렀군... 연락이라도 해야겠다.	
think	나	죽을 힘을 다해 가고 싶었지만 진짜 죽을 것 같다고...	
think	나	애교 섞어서 말하면 이해해주지 않을까?	
think	나	내 핸드폰이...	
think	나	윽..!	
think	나	몸이 말을 안듣네...	
think	나	무슨 숙취가 이렇게 힘들어....	
think	나	누가 걸어오는 소리가 들린다.	
image	여동생		
talk	여동생	어? 오빠! 깨어났구나!	
talk	나	으... 야 소리 좀 낮춰. 머리 아파...	
talk	여동생	괜찮아? 많이 아파?	
talk	나	아니.. 이제는 좀 괜찮아지긴 했어.	
talk	나	아 맞아. 너 내 핸드폰 가지고 있지?	
talk	나	나 대신에 예진이한테 오늘 가기 힘들다고 연락 좀 넣어줘	
talk	여동생	뭐? 그 언니한테? 갑자기 왜?	
talk	나	어...?	
think	나	예상치 못한 반응에 말이 안나온다.	
think	나	예진이한테 왜 연락하냐고?	
talk	여동생	아! 나 의사 선생님 불러올께!	
image			
narration	나레이션	여동생이 나갔다.	
think	나	뭐지? 오늘이 예진이 생일인걸 모르나?	
think	나	뭐... 남의 여자친구 생일까지 일일이 다 기억하고 있지 않을수도 있지.	
think	나	그래도 핸드폰은 주고 가지...	
think	나	내 자켓하고 가방이 어딨을까...	
